"Designator","Package","Quantity","Designation","LCSC Part #"
"C3,C4","0603",2,"100nF","C14663",
"C5,C6","0805",2,"22uF","C45783",
"D1,D2,D3","LED_0805",3,"LED","C2297",
"D4","LED_0805",1,"LED","C84256",
"R1,R2","0603",2,"6.8k","C23212",
"R3,R4,R5,R6,R7,R8,R12,R13","0603",8,"10k","C25804",
"R9,R10,R11,R16","0603",4,"330","C23138",
"U2","TQFP-32_7.0x7.0x0.8P",1,"ATmega328P-PU","C14877",
"C7","0805",1,"10n","C1710",
"C8,C9","0603",2,"100n","C14663",
"FB1","0805",1,"Ferrite_Bead","C1017",
"R14,R15","0603",2,"1k","C21190",
"Y1","SMD-3225_4P",1,"Crystal_GND24","C13738",
"U3","SSOP-28_5.3x10.2x0.65P",1,"FT232RL","C8690",
